id,time,feature_1,feature_2
0,2019-03-19 00:00:00,735.7400425372388,54479.54051250262
1,2019-03-19 00:00:10,734.1029468884999,47888.03371377372
2,2019-03-19 00:00:20,730.0603364148208,47700.88232514431
3,2019-03-19 00:00:30,725.6097417993656,47790.09464769947
4,2019-03-19 00:00:40,724.3284804418403,47808.40238074552
5,2019-03-19 00:00:50,723.7158925416023,47810.51741073873
6,2019-03-19 00:01:00,720.4068753286894,47835.75812121303
7,2019-03-19 00:01:10,712.6822685615398,47806.93848078656
8,2019-03-19 00:01:20,711.5097411172359,47812.09904409829
9,2019-03-19 00:01:30,707.025593907406,47821.540514391345
10,2019-03-19 00:01:40,704.9676397146663,47873.8556271085
11,2019-03-19 00:01:50,698.347053738432,47904.917155269766
12,2019-03-19 00:02:00,695.3261736819068,48024.051143688994
13,2019-03-19 00:02:10,694.9600175411246,48164.80990299343
14,2019-03-19 00:02:20,693.1946333367191,48324.15038402319
15,2019-03-19 00:02:30,688.4415465901554,48338.749346304285
16,2019-03-19 00:02:40,688.383811502882,48348.04934633507
17,2019-03-19 00:02:50,685.0965064878629,48313.60818935858
18,2019-03-19 00:03:00,678.9577608764154,48315.78061780827
19,2019-03-19 00:03:10,678.1839248772746,48257.96521643919
20,2019-03-19 00:03:20,675.9003268477488,48330.19744682825
21,2019-03-19 00:03:30,673.4867952163623,48429.88057594395
22,2019-03-19 00:03:40,674.0842973031689,48459.7324823144
23,2019-03-19 00:03:50,673.2783202522669,48538.140403824065
24,2019-03-19 00:04:00,670.83230860279,48632.97308974029
25,2019-03-19 00:04:10,667.334720677767,48718.48688802984
26,2019-03-19 00:04:20,666.5071286009157,48780.65794772218
27,2019-03-19 00:04:30,666.9594299505268,48872.0730589074
28,2019-03-19 00:04:40,664.5229539455416,48957.709759390025
29,2019-03-19 00:04:50,660.8313518797753,48960.85920206204
30,2019-03-19 00:05:00,661.5665354528577,49011.51985048628
31,2019-03-19 00:05:10,661.3695424964702,49023.16838454103
32,2019-03-19 00:05:20,660.4082108299067,49124.71129605473
33,2019-03-19 00:05:30,653.2105707257897,49182.7658762989
34,2019-03-19 00:05:40,654.1444034890231,49195.29698121421
35,2019-03-19 00:05:50,652.4976301064487,49148.82727268102
36,2019-03-19 00:06:00,650.4278320664332,49121.76030032848
37,2019-03-19 00:06:10,648.5690545549253,49004.93303141553
38,2019-03-19 00:06:20,643.3284480392017,49144.49194107545
39,2019-03-19 00:06:30,643.7959116412408,49165.367978087634
40,2019-03-19 00:06:40,642.0973787547334,49148.03982683614
41,2019-03-19 00:06:50,640.7063930907991,49202.62083185514
42,2019-03-19 00:07:00,638.5718848197328,49254.598044300554
43,2019-03-19 00:07:10,636.8838498756264,49322.153937885734
44,2019-03-19 00:07:20,633.6931742797142,49398.297483782895
45,2019-03-19 00:07:30,633.244914165399,49436.777177173746
46,2019-03-19 00:07:40,631.5244058295299,49529.95532464543
